Emrakul,Halimar Depth,Serum Powder,Shelldock Isle,Shadwborn Apostle,Max Mulliagan,Exile Emrakul,Exile Shelldock Isle,Lose,Turn 4,Turn 5,Turn 4 + Turn 5 - Lose,Turn 6,Turn 7,Turn 8,Turn 9
3,4,0,4,45,3,2,1,20.73,9.8,19.41,8.48,18.69,15.45,10.47,5.43999
4,4,2,4,42,3,1,3,20.93,10.42,18.99,8.48,17.61,14.69,10.78,6.58
3,3,3,4,43,2,2,3,22.8699,11.14,20.19,8.4601,18.42,13.75,8.4,5.24
4,3,0,4,45,3,3,3,19.79,9.44,18.79,8.44,18.15,15.75,11.48,6.59
4,3,0,4,45,3,0,2,19.9199,9.47,18.88,8.4301,18.15,15.59,11.54,6.45
3,3,1,4,45,3,1,1,20.64,9.78,19.28,8.42,18.31,15.36,10.82,5.82
4,4,2,4,42,2,2,2,22.07,10.77,19.72,8.42,18.99,14.32,8.73,5.41
4,4,2,4,42,3,1,2,20.94,10.37,18.98,8.41,17.54,14.87,10.74,6.55
4,3,2,4,43,3,2,1,20.59,9.99,19,8.4,17.37,15.0499,11.2199,6.78
3,4,1,4,44,3,0,2,21.11,10.03,19.48,8.4,18.26,15.19,10.34,5.59
4,3,0,4,45,3,1,0,19.8699,9.31,18.95,8.3901,18.02,15.75,11.61,6.49
3,4,1,4,44,3,1,2,21.15,10.16,19.36,8.37,18.26,15.1299,10.34,5.59
3,4,1,4,44,3,2,1,21.12,10,19.49,8.37,18.24,15.2299,10.4,5.52
4,4,4,4,40,2,2,2,22.96,11.39,19.9399,8.3699,17.93,13.29,8.6,5.88
3,3,2,4,44,3,2,0,21.24,10.08,19.5099,8.3499,17.75,14.82,10.59,6.01
3,3,2,4,44,3,2,1,21.33,10.17,19.5099,8.3499,17.72,14.79,10.59,5.91
3,3,2,4,44,2,2,2,22.5,10.66,20.15,8.31,19.1,14.35,8.38,4.85
3,4,1,4,44,3,2,0,21.36,10.09,19.54,8.27,18.29,14.94,10.25,5.52
4,3,4,4,41,2,2,2,22.66,11.2199,19.71,8.2699,17.54,13.38,9.02,6.46
4,4,2,4,42,3,0,2,21.01,10.35,18.92,8.26,17.39,14.94,10.84,6.56
4,2,3,4,43,3,2,2,20.36,9.79,18.83,8.26,16.82,14.77,11.78,7.64999
3,2,1,4,46,3,0,2,19.9399,9.13,19.04,8.2301,18.12,15.77,11.54,6.46
3,2,1,4,46,3,0,3,19.96,9.13999,19.03,8.20999,17.99,15.84,11.51,6.52
3,3,1,4,45,3,1,0,20.84,9.77,19.27,8.2,18.18,15.29,10.85,5.8
4,4,1,4,43,3,1,1,20.63,9.89,18.92,8.18,17.86,15.3799,10.9,6.41999
4,3,0,4,45,3,0,0,20.14,9.45,18.86,8.17,17.99,15.68,11.4599,6.43
4,3,2,4,43,3,0,3,20.66,10.0599,18.74,8.1399,17.23,14.99,11.3,7.02
4,4,3,4,41,3,3,0,21.67,10.59,19.18,8.1,17.2,14.42,10.56,6.39
4,2,2,4,44,3,2,3,19.9,9.41,18.58,8.09,17.1199,15.36,12,7.62
3,2,1,4,46,3,1,2,19.95,9.09,18.95,8.09,18.08,15.93,11.59,6.4
3,2,0,4,47,3,2,1,19.6899,8.69,19.08,8.0801,18.5099,16.2,11.7099,6.12
3,2,0,4,47,3,0,0,19.72,8.75,19.05,8.08,18.54,16.1,11.64,6.18999
4,3,3,4,42,3,3,1,21.32,10.41,18.98,8.07,16.88,14.57,10.9,6.94
3,2,0,4,47,3,2,2,19.78,8.79,19.06,8.07,18.42,16.08,11.75,6.13
4,3,2,4,43,3,1,2,20.8,9.96999,18.9,8.06999,17.29,14.79,11.14,7.1
4,3,2,4,43,3,0,2,20.65,10.0599,18.64,8.0499,17.4,14.97,11.23,7.04
3,2,0,4,47,3,1,2,19.6899,8.84,18.86,8.0101,18.47,16.37,11.55,6.22
4,2,4,4,42,2,3,3,21.97,10.51,19.46,8,17.05,13.87,9.96999,7.16
4,4,1,4,43,3,0,0,20.76,9.96999,18.79,7.99999,17.94,15.32,10.91,6.32
3,2,0,4,47,3,1,1,19.82,8.81,19.0099,7.9999,18.4599,16.08,11.7,6.12
3,2,1,4,46,3,2,1,20.05,9.15,18.89,7.99,18.13,15.85,11.65,6.27999
3,4,4,4,41,3,2,3,23.21,11.37,19.83,7.99,17.09,13.36,9.3,5.83
3,2,1,4,46,3,1,3,20.1199,9.11,18.98,7.9701,18.11,15.68,11.59,6.4
3,3,3,4,43,2,2,2,23.05,10.9799,20.04,7.9699,18.43,13.7,8.53,5.27
3,2,4,4,43,3,2,2,21.81,10.45,19.32,7.96,16.42,14.16,10.83,7.02
4,4,1,4,43,2,3,2,22.09,10.37,19.68,7.96,19.22,14.7299,8.64999,5.25
4,4,1,4,43,3,0,1,20.81,9.94,18.83,7.96,17.75,15.32,11.02,6.34
3,2,0,4,47,3,2,0,19.7,8.69,18.97,7.96,18.57,16.18,11.67,6.22
3,2,0,4,47,3,0,1,19.85,8.81,18.99,7.95,18.5099,16.04,11.66,6.15
4,3,3,4,42,3,3,0,21.29,10.2999,18.94,7.9499,16.91,14.53,10.9799,7.04999
3,2,1,4,46,3,2,0,20.1699,9.13,18.98,7.9401,18.13,15.9099,11.39,6.27999
3,2,0,4,47,3,1,0,19.77,8.78,18.92,7.93,18.52,16.21,11.62,6.18
4,3,1,4,44,3,0,0,20.48,9.6,18.81,7.93,17.51,15.31,11.53,6.75
4,4,3,4,41,3,3,1,21.82,10.6,19.11,7.89,17.27,14.45,10.33,6.41999
3,2,2,4,45,3,0,2,20.52,9.46,18.95,7.89,17.51,15.4099,11.43,6.71
4,3,2,4,43,3,1,3,20.82,9.95999,18.75,7.88999,17.23,14.95,11.28,7.01
4,3,1,4,44,3,1,0,20.45,9.61,18.72,7.88,17.5,15.5099,11.44,6.77
4,2,2,4,44,3,2,2,19.98,9.22999,18.62,7.86999,17.21,15.4099,11.98,7.57
4,4,1,4,43,3,1,0,20.77,9.87999,18.72,7.82999,17.81,15.4,10.92,6.49
4,2,4,4,42,3,2,2,21.15,10.1,18.87,7.82,16.16,14.28,11.59,7.84
3,2,2,4,45,3,0,3,20.57,9.56,18.83,7.82,17.57,15.25,11.49,6.72999
4,3,1,4,44,2,3,3,21.67,10.0599,19.43,7.8199,19.13,14.92,9.16,5.62
3,2,0,4,47,3,1,3,19.86,8.67,19.0099,7.8199,18.58,16.23,11.58,6.06999
3,2,3,4,44,2,2,3,22.22,10.35,19.67,7.8,18.0999,14.42,9.31,5.92
3,2,0,4,47,3,2,3,20.02,8.72,19.1,7.8,18.32,16.15,11.65,6.05
3,4,2,4,43,3,1,3,21.7599,10.25,19.3,7.7901,17.86,14.79,10.25,5.8
3,4,2,4,43,3,0,3,21.94,10.43,19.29,7.78,17.7,14.7,10.22,5.72999
3,3,1,4,45,2,2,2,22.38,10.26,19.89,7.77,19.6899,14.81,8.33,4.65
